Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDV24,OUT013,2304.69999
DRF48,OUT010,344.98427000000004
FDQ47,OUT046,2002.92614
DRN36,OUT049,1681.24487
NCY06,OUT035,2804.38289
FDE52,OUT035,2622.81923
NCB54,OUT045,2203.8978700000002
NCF31,OUT035,2734.54047
FDJ08,OUT027,5180.35677
NCC07,OUT017,1726.78559
NCD19,OUT027,1697.3905199999997
FDL46,OUT049,2149.0359500000004
FDM20,OUT045,3080.9894999999997
NCI06,OUT010,503.0784800000001
DRM11,OUT035,2952.05733
NCH07,OUT018,2144.74154
FDS23,OUT013,2136.81852
FDO49,OUT018,1015.4448699999999
FDS35,OUT049,1373.77843
DRK39,OUT045,1420.58417
DRI39,OUT049,1431.93606
FDV04,OUT017,2153.0307499999994
NCN14,OUT035,2463.52658
FDH08,OUT013,3370.8788200000004
FDS20,OUT046,2952.22378
FDV40,OUT049,1412.86089
FDZ48,OUT010,250.20764
FDS24,OUT027,3930.01766
FDK44,OUT049,2913.7405400000002
FDS48,OUT045,1973.2314600000002
FDK26,OUT010,352.40794
FDD23,OUT045,2907.1491199999996
NCH54,OUT017,2234.5579599999996
NCP14,OUT010,247.07837999999998
FDM60,OUT010,240.38709
FDV24,OUT017,2230.52987
FDH08,OUT018,2792.56494
FDS12,OUT027,2855.08356
FDR39,OUT027,4343.27972
FDP12,OUT027,3930.0176600000004
DRF60,OUT027,3357.1300500000007
FDC09,OUT035,2105.7589500000004
FDF50,OUT018,2501.54376
FDG28,OUT035,2698.7870099999996
NCE19,OUT017,1105.86051
NCM53,OUT010,330.53641000000005
NCN18,OUT049,2484.6990200000005
FDF32,OUT035,2885.04456
FDF11,OUT013,3149.70006
DRI59,OUT049,2219.54417
NCG54,OUT035,3202.0652299999997
FDM44,OUT046,1868.10164
FDT57,OUT018,2692.6616499999996
FDV24,OUT046,2051.0634800000003
FDI50,OUT019,454.80797999999993
FDS09,OUT035,1832.5812100000003
NCC31,OUT027,3744.6922299999997
FDQ07,OUT019,338.29298
FDC22,OUT017,2545.6863
FDZ56,OUT046,1977.85877
FDZ40,OUT019,259.56213
FDS46,OUT027,3706.3088599999996
DRD24,OUT045,2309.3273000000004
FDV45,OUT017,2906.6830600000003
FDL26,OUT045,2805.7144900000003
FDA56,OUT018,1889.80672
FDN27,OUT046,2085.2856
FDM20,OUT049,2801.1204699999994
FDO16,OUT017,1615.36396
FDL03,OUT035,2842.59981
FDE58,OUT046,2322.6432999999997
FDI02,OUT027,3381.3984600000003
NCC55,OUT019,239.85444999999999
FDR03,OUT018,2265.48437
FDB14,OUT017,2150.93348
FDR45,OUT013,3773.9541399999994
NCN07,OUT017,2031.42238
FDM51,OUT019,424.51408000000004
FDT52,OUT027,4216.97746
FDL26,OUT046,2421.71434
NCZ42,OUT046,2215.64924
DRI47,OUT019,305.66878
FDW40,OUT013,2543.6889
FDN34,OUT046,2278.1678599999996
FDS01,OUT035,2496.38381
NCG55,OUT045,2101.53112
FDC11,OUT035,2068.24112
FDX35,OUT018,2680.77712
NCB06,OUT046,2214.28435
FDR09,OUT019,393.72083000000003
FDC53,OUT017,1475.27964
FDY45,OUT013,3256.96044
FDA22,OUT010,412.59626
FDE02,OUT035,1792.06728
FDW21,OUT045,1884.8798
FDV34,OUT046,1535.3348
FDS59,OUT049,1907.8831899999998
NCW17,OUT017,2033.2866200000003
NCK54,OUT046,1839.3390800000002
FDG17,OUT019,452.34452
FDG35,OUT017,2593.9235099999996
FDD08,OUT010,301.30778999999995
NCO07,OUT017,2891.2365
FDJ10,OUT010,649.6543499999999
FDW36,OUT017,1699.7541099999999
FDW21,OUT010,298.67787999999996
FDY19,OUT017,2194.3103499999997
DRE03,OUT013,1703.0498200000002
NCC55,OUT049,1657.20949
FDH52,OUT010,287.69218
FDO09,OUT017,3798.08939
FDU43,OUT045,3976.823400000001
FDX09,OUT010,437.23086
FDH40,OUT019,248.90933000000004
FDW58,OUT017,1973.0982999999997
FDC47,OUT017,3965.2717700000007
NCR41,OUT035,1811.0758700000001
DRG49,OUT035,2367.7512500000003
FDC52,OUT027,4008.94825
FDY13,OUT046,2027.26113
FDY35,OUT013,1475.1464799999999
FDI35,OUT017,2889.3722599999996
NCU18,OUT049,2813.5376399999996
FDY33,OUT018,2386.19391
FDC15,OUT027,4509.3635300000005
FDU01,OUT049,2289.55304
NCU42,OUT046,2275.23834
NCV29,OUT018,1949.1295000000002
NCY30,OUT017,2922.59568
FDQ46,OUT049,2751.05231
FDG58,OUT027,4088.6112200000002
FDK33,OUT017,2966.73822
NCD07,OUT045,1632.37515
NCX29,OUT027,3582.60322
NCT42,OUT013,2388.72395
DRN59,OUT035,1742.89795
FDI44,OUT035,1964.17658
FDA45,OUT049,2260.42429
FDP31,OUT045,1449.51318
FDY01,OUT046,1895.03325
FDT09,OUT018,1789.2043400000002
DRH03,OUT027,3709.6045700000004
FDA36,OUT018,1881.9169900000004
NCF31,OUT017,2762.7038099999995
FDG14,OUT049,2289.55304
FDG28,OUT027,4216.97746
FDU14,OUT049,3132.6555799999996
FDY47,OUT019,276.07397000000003
FDI56,OUT049,1585.4029600000001
DRD01,OUT013,1322.6449899999998
FDM22,OUT046,1579.0778599999999
FDH33,OUT013,1825.0909600000002
DRZ24,OUT013,2528.84156
NCQ38,OUT046,2061.2502199999994
FDO16,OUT027,2332.49714
FDU07,OUT027,4622.349789999999
NCB07,OUT013,3192.2446800000002
FDU48,OUT045,1726.9520399999997
NCM43,OUT045,2414.62357
FDR31,OUT010,236.72519000000003
DRK49,OUT018,2096.1714300000003
NCI30,OUT010,531.40827
DRD60,OUT017,2907.34886
NCG19,OUT046,2571.8189500000003
FDH12,OUT035,1827.82074
FDM32,OUT035,2278.1678600000005
FDM27,OUT035,2817.4658600000002
NCU53,OUT027,4037.011720000001
NCQ18,OUT046,1705.34683
FDS10,OUT013,3167.57679
FDB33,OUT027,5077.290930000001
FDI12,OUT013,1856.0839499999997
NCW42,OUT013,3422.34516
NCC06,OUT018,1670.99155
FDW02,OUT017,1898.49541
NCD43,OUT017,1656.04434
FDM57,OUT018,1484.0349099999999
FDA58,OUT017,4148.932699999999
FDK56,OUT046,2952.22378
FDP52,OUT045,3155.5258099999996
FDW20,OUT018,2001.4946700000005
FDS52,OUT049,1453.8408799999997
NCT29,OUT018,1377.0408499999999
NCL54,OUT013,3032.3528100000003
FDC05,OUT045,2692.29546
FDF34,OUT035,2858.74546
FDP03,OUT027,3789.9666300000004
FDD32,OUT010,242.05159000000003
FDZ10,OUT045,2114.08145
FDZ40,OUT035,1675.58557
FDD51,OUT018,1847.66158
NCY30,OUT019,332.76684
FDP58,OUT017,3199.8348
FDV49,OUT017,3837.43817
FDY24,OUT019,224.97382
NCO55,OUT017,1957.9180600000004
FDR13,OUT017,1981.18777
FDS51,OUT017,1561.66719
FDP26,OUT045,1529.90853
NCB54,OUT027,3423.8432100000005
FDF32,OUT017,3311.45617
FDN31,OUT018,2748.72201
DRM48,OUT017,1061.11875
FDN20,OUT049,2709.53968
DRL01,OUT046,3211.9856499999996
FDV56,OUT049,2368.0508600000003
DRH13,OUT027,2536.0322000000006
FDA03,OUT017,2744.49418
FDF47,OUT027,4489.52269
FDX32,OUT046,2570.5539299999996
FDX57,OUT049,1706.5452699999998
NCA30,OUT045,2234.5579600000005
FDO49,OUT013,1195.3107399999997
FDL04,OUT019,272.6451
DRM48,OUT035,2142.34466
FDR16,OUT013,2741.63124
NCC19,OUT018,2425.8755900000006
NCE42,OUT045,3208.09072
FDY24,OUT017,1535.6677
FDH19,OUT049,2065.84424
FDJ46,OUT013,3239.0504200000005
FDN45,OUT010,499.98251
FDY08,OUT035,1881.2511900000004
FDZ37,OUT035,2127.93009
NCT30,OUT045,2234.5579599999996
DRY23,OUT018,1044.80665
NCZ30,OUT018,2226.66823
FDC44,OUT018,1810.0105899999999
FDB45,OUT035,2278.1678599999996
FDY04,OUT013,2913.6406700000002
FDM27,OUT046,2848.32569
FDZ43,OUT017,4412.9223999999995
FDT39,OUT019,423.31564
NCC06,OUT019,326.14213000000007
FDL15,OUT027,3988.1087100000004
FDL57,OUT017,4052.225250000001
FDU08,OUT046,1791.26832
FDK40,OUT017,3464.3904300000004
FDQ12,OUT010,419.48729000000003
FDS48,OUT017,2070.1053600000005
FDP09,OUT045,3288.0533000000005
FDW21,OUT049,1748.2243499999997
FDY25,OUT035,2518.08889
DRE13,OUT017,1716.9317500000002
FDV43,OUT019,282.6321
FDD22,OUT045,1548.0515799999998
FDM46,OUT019,368.98636
NCO30,OUT010,443.58925
FDM25,OUT046,2660.90299
NCN41,OUT049,2026.6619100000003
FDU24,OUT045,1616.02976
FDZ50,OUT046,2282.29582
FDP45,OUT013,2979.7213199999997
NCM54,OUT045,2111.78444
FDW10,OUT019,406.3044500000001
FDP20,OUT017,2231.5951499999996
FDK32,OUT046,2597.5188299999995
FDN52,OUT049,2042.8075599999997
FDM58,OUT045,2125.66637
FDZ46,OUT027,3021.66672
NCA18,OUT018,2113.0827500000005
FDD35,OUT046,2296.11117
NCK31,OUT035,1780.11617
FDI40,OUT027,3271.4415900000004
FDT50,OUT019,316.88750999999996
NCT06,OUT046,2405.00276
FDT31,OUT035,2987.51118
FDT45,OUT049,2579.1094600000006
FDT13,OUT045,3375.7391599999996
FDO50,OUT045,1416.3896300000001
NCU18,OUT010,319.35097
NCR54,OUT049,3227.56537
NCO18,OUT018,2268.6136300000003
FDU09,OUT045,1325.9406999999999
FDT13,OUT018,2161.6528599999997
FDE09,OUT046,2196.87368
NCK53,OUT019,408.46829999999994
FDG45,OUT049,2413.1255200000005
DRH15,OUT035,1779.3837900000003
FDO21,OUT019,312.5931
FDD14,OUT027,4419.08105
FDC09,OUT046,2158.1241199999995
FDH45,OUT027,2516.59084
FDV32,OUT046,1817.9669
FDG12,OUT035,1902.92298
FDS32,OUT013,2183.824
NCL55,OUT018,1833.0805599999999
DRE01,OUT035,2367.7512500000003
DRE15,OUT049,1672.75592
NCL42,OUT045,3219.0098399999997
FDP31,OUT013,1988.67802
FDN33,OUT018,1922.8304
FDZ59,OUT046,2577.84444
FDE45,OUT010,321.2485
FDJ07,OUT013,1896.0652400000004
FDQ45,OUT018,2451.04283
FDM33,OUT027,5311.81898
FDO15,OUT010,351.30937000000006
FDM46,OUT013,2228.0997
FDR03,OUT045,3020.7013099999995
FDY49,OUT018,2061.58312
FDQ60,OUT045,2680.2111900000004
FDW10,OUT049,2433.2659700000004
FDO51,OUT049,2235.72311
FDJ40,OUT018,1523.5834300000001
FDS20,OUT018,2651.74824
FDU45,OUT013,2109.9202
FDV02,OUT035,2903.7535399999997
FDN09,OUT046,2812.7386800000004
NCM55,OUT027,3507.6341399999997
FDN23,OUT018,1736.1067899999998
FDY31,OUT010,321.24850000000004
FDW03,OUT010,370.8506
FDD14,OUT046,2667.5942800000003
FDV23,OUT017,1628.5135100000002
DRI03,OUT045,2587.5318300000004
FDN13,OUT035,1939.3089499999994
FDF45,OUT027,2761.30563
FDU46,OUT035,1903.5222
FDB57,OUT049,3322.30871
FDV12,OUT049,2038.9459199999997
FDQ58,OUT013,2622.2865900000006
NCA18,OUT017,1892.3700500000002
FDH52,OUT049,2042.80756
FDM24,OUT018,2256.5626499999994
NCP43,OUT027,3752.9814399999996
NCO18,OUT019,340.52341
FDM32,OUT017,1931.3526399999998
NCL07,OUT017,1688.36893
FDK03,OUT013,2781.91214
FDP59,OUT017,2234.82428
FDQ24,OUT049,2147.03855
FDQ16,OUT018,1847.2953899999998
FDU44,OUT013,2539.6940999999997
FDH28,OUT010,295.21572000000003
FDV28,OUT019,227.70360000000005
FDM22,OUT045,1009.71899
FDR56,OUT046,2975.06072
FDV39,OUT049,2305.83185
FDU37,OUT019,378.00795
FDQ11,OUT010,660.2072800000001
FDX02,OUT045,3097.5013400000003
NCS42,OUT018,1965.37502
FDY57,OUT027,2693.52719
FDB21,OUT049,2684.5721799999997
FDE28,OUT017,3222.8714800000002
FDQ55,OUT017,1929.4884000000002
FDA48,OUT049,2256.12988
FDZ19,OUT045,2661.63537
NCC43,OUT045,3821.4922600000004
NCV18,OUT046,1741.3666099999998
NCA42,OUT018,2380.3015800000003
FDY45,OUT046,2634.0046699999994
NCC30,OUT045,3231.0608200000006
FDM57,OUT013,1691.23187
FDL09,OUT010,332.60039
FDB09,OUT027,3775.25245
FDT44,OUT035,2342.7837499999996
NCT06,OUT027,4217.143910000001
FDX26,OUT049,2577.0121900000004
FDK32,OUT013,2414.12422
DRA12,OUT046,2127.8968000000004
FDO46,OUT010,363.92628
FDE52,OUT013,2473.31384
NCH42,OUT045,3838.103970000001
FDV08,OUT035,1733.9762300000002
FDB47,OUT018,2754.3147300000005
FDC28,OUT010,362.42823
FDD22,OUT046,2262.3884
FDS07,OUT027,3405.2341
DRI13,OUT045,2998.4968799999997
FDG32,OUT018,2255.16447
FDU14,OUT017,3424.24269
FDD28,OUT019,260.92701999999997
NCP41,OUT017,1832.9474000000002
FDS08,OUT049,1997.6330300000002
FDX47,OUT045,2543.78877
FDC53,OUT019,285.02898
FDQ19,OUT035,3005.4211999999998
FDL14,OUT045,2586.2002300000004
FDM33,OUT019,435.86597
FDA51,OUT045,1584.30439
FDZ27,OUT018,1793.13256
FDT04,OUT046,1532.8047599999998
DRC13,OUT049,1698.2227699999999
FDR16,OUT027,4216.97746
FDQ03,OUT027,4022.46399
FDE38,OUT035,2201.7007299999996
DRH23,OUT027,2623.01897
FDT11,OUT019,436.4984799999999
FDD09,OUT035,2866.43545
FDR40,OUT045,1567.89242
FDX07,OUT017,3522.64793
FDR07,OUT035,2131.25909
FDA51,OUT017,1940.3409399999996
FDT59,OUT019,456.1395799999999
FDF20,OUT017,3167.4103399999995
FDR13,OUT045,1828.71957
FDY26,OUT049,2598.18463
FDW04,OUT017,1976.52717
FDK52,OUT017,3343.1482499999997
FDN60,OUT049,2043.57323
FDM09,OUT019,306.43445
FDP46,OUT049,2413.3918400000002
FDB50,OUT019,439.92734999999993
NCQ29,OUT049,2743.7285100000004
FDP16,OUT027,4731.44112
FDX33,OUT018,2356.13304
FDP07,OUT010,364.15931
FDN22,OUT046,2680.1778999999997
FDF39,OUT049,2598.18463
FDS21,OUT017,1578.3121899999999
NCM42,OUT013,1745.02851
FDK50,OUT019,453.44309000000004
DRF13,OUT027,3357.5961099999995
FDH35,OUT018,2539.89384
FDP60,OUT018,1402.00835
DRJ49,OUT027,3147.5362099999998
NCT42,OUT019,308.53172
FDE38,OUT049,1881.7505400000002
FDI04,OUT049,2732.0437199999997
NCH54,OUT045,3093.3068
FDT56,OUT049,2278.5340500000007
DRD15,OUT018,2567.02519
FDV58,OUT013,2630.0764499999996
FDP21,OUT049,2385.52811
FDH05,OUT013,3149.20071
FDR10,OUT027,3969.93237
NCP06,OUT045,2405.4355300000007
FDF33,OUT049,1585.3030899999999
DRK37,OUT013,2836.7740599999997
DRH49,OUT045,1588.83183
FDT58,OUT013,2703.64735
FDD41,OUT018,1737.23865
FDP40,OUT018,1797.1939399999999
FDM51,OUT027,3789.96663
FDO45,OUT010,305.46904
FDW33,OUT010,430.17338
FDY24,OUT045,1901.32506
FDB10,OUT010,450.61343999999997
FDM40,OUT035,2277.7018000000003
NCI06,OUT017,3429.6356700000006
FDW12,OUT019,330.93589000000003
FDX48,OUT027,3930.0176600000004
NCW05,OUT027,3179.3947400000006
FDX27,OUT017,2302.03679
DRM37,OUT045,3125.33178
FDA38,OUT045,2854.51763
FDR36,OUT046,2146.0065600000007
FDZ45,OUT046,2658.33966
FDG05,OUT017,2477.2420599999996
FDK28,OUT013,3215.2813600000004
FDV47,OUT045,1795.8290499999998
FDN21,OUT045,2713.5344800000003
FDP20,OUT027,3508.865869999999
FDI35,OUT045,2658.1066299999998
DRY23,OUT013,1387.0944299999999
FDA56,OUT017,1915.5398899999996
FDB09,OUT013,2171.8396000000002
NCO26,OUT027,3354.2338200000004
FDQ49,OUT018,2173.0713299999998
FDI52,OUT027,3011.81288
FDZ44,OUT027,3591.0588800000005
FDZ09,OUT018,2457.83399
FDY03,OUT049,2293.58113
NCG42,OUT017,2234.55796
DRI13,OUT027,3357.59611
FDQ32,OUT013,2026.09598
FDW16,OUT035,1913.87539
FDU27,OUT046,2140.8799
FDR28,OUT010,328.43914
FDQ49,OUT010,391.95646
FDS37,OUT046,2254.8981499999995
FDW26,OUT018,2366.6193900000003
FDX12,OUT018,2256.5626500000008
NCP06,OUT013,2281.2638300000003
FDW45,OUT010,500.51515
NCN30,OUT049,2097.50303
FDN24,OUT049,1913.87539
NCL41,OUT027,2650.38335
FDR02,OUT019,331.73485
FDD09,OUT010,321.2485
FDS33,OUT010,298.67787999999996
FDU22,OUT045,2300.2391300000004
FDI53,OUT013,2741.63124
DRH01,OUT049,2506.4373899999996
FDX32,OUT013,2181.19409
NCP30,OUT018,1189.28525
FDB60,OUT045,2572.3183
FDB14,OUT049,2289.5530400000002
NCP02,OUT035,1948.4636999999998
FDJ10,OUT017,1972.69882
FDG34,OUT046,1676.4511100000004
NCB18,OUT017,1333.66398
FDM16,OUT049,2042.80756
FDW25,OUT018,1744.29613
FDB35,OUT010,234.66120999999998
DRN11,OUT013,2544.12167
FDF41,OUT019,343.68596
FDH16,OUT045,1228.96693
NCQ50,OUT018,2698.3542399999997
DRH23,OUT018,1950.22807
DRJ37,OUT013,2831.9803
DRJ24,OUT027,3357.1300500000007
FDY16,OUT035,2778.6497200000003
FDQ27,OUT045,1983.9175499999997
FDZ33,OUT045,2359.69507
FDF29,OUT045,2214.28435
FDA08,OUT049,2452.54088
FDG31,OUT046,1590.42975
FDE34,OUT019,377.2755699999999
NCR30,OUT027,1824.42516
FDV33,OUT035,3144.8730100000002
DRZ24,OUT018,2133.3563599999998
NCL54,OUT035,3455.8348999999994
FDR12,OUT049,2957.2505699999997
NCC54,OUT046,2553.94222
DRN59,OUT013,2367.21861
FDX50,OUT019,287.3925700000001
FDV31,OUT027,5180.356769999999
NCA29,OUT027,4352.800660000001
FDW60,OUT049,2392.4191400000004
FDX08,OUT017,2799.85545
DRD49,OUT013,3135.11904
FDD33,OUT046,2821.1610499999997
FDW35,OUT013,1343.11834
FDJ36,OUT017,1676.41782
FDV51,OUT035,2960.8125999999997
FDW36,OUT046,1985.6819199999998
FDH35,OUT046,2525.94533
NCS30,OUT027,3929.3851499999996
FDN49,OUT017,1759.0435999999997
FDL08,OUT018,2997.66463
FDI09,OUT013,3556.5038599999993
FDP19,OUT018,1949.9284600000003
FDU21,OUT010,298.7777499999999
NCP41,OUT045,1922.2311799999995
FDY10,OUT013,2238.7857900000004
FDP12,OUT018,2256.56265
NCN26,OUT049,2437.56038
FDK44,OUT013,2432.56688
FDC28,OUT049,1526.97901
FDJ41,OUT027,4678.9095
NCT29,OUT035,2370.0482600000005
NCH42,OUT019,401.44411
FDU60,OUT018,2256.5626500000003
FDS02,OUT045,3733.9395600000003
FDC51,OUT046,1974.9292500000004
FDU03,OUT013,2436.0623299999997
FDX39,OUT045,3131.79004
NCY05,OUT010,330.53641000000005
NCL06,OUT027,5730.97337
FDD32,OUT035,2069.6393
NCN41,OUT045,1886.5443
NCX53,OUT049,2122.60369
FDU57,OUT019,287.02638
FDQ23,OUT046,2448.54608
FDQ52,OUT045,3655.7413500000002
FDC14,OUT045,1356.6007900000002
FDY09,OUT035,3778.8477699999994
FDQ28,OUT045,2426.77442
FDV25,OUT046,3435.6944500000004
FDJ07,OUT035,2180.76132
DRB25,OUT049,2038.6463099999996
FDK52,OUT019,329.87060999999994
FDY52,OUT027,2332.4971400000004
FDB28,OUT046,2435.56298
FDT36,OUT035,1169.1115100000002
FDV25,OUT017,3053.29222
NCN07,OUT027,3127.3624700000005
FDC57,OUT017,3510.4305
FDQ03,OUT018,2295.0791799999997
FDU23,OUT017,2440.0904200000004
NCX41,OUT035,2868.9322
NCD06,OUT035,1754.2165499999999
FDW08,OUT045,2027.72719
NCU29,OUT017,1912.1110199999998
NCE06,OUT013,2629.04446
FDV52,OUT010,294.81624
FDB02,OUT017,2905.68436
NCR18,OUT045,1124.03685
FDK16,OUT049,1331.6998699999997
NCQ29,OUT010,334.5645
FDZ01,OUT019,368.05424
FDW27,OUT035,2578.84314
FDD17,OUT018,2882.68097
FDW39,OUT013,2256.3962
DRH59,OUT045,1296.3458899999998
FDS52,OUT013,1884.01426
FDU40,OUT027,4731.44112
NCF54,OUT013,2969.7343199999996
FDH46,OUT045,1583.03937
NCP14,OUT049,1684.20768
FDH50,OUT049,2289.55304
DRF15,OUT010,343.0201599999999
FDV27,OUT027,3789.96663
NCJ06,OUT049,2605.1089499999994
FDN02,OUT018,2053.79326
FDQ51,OUT049,2235.88956
FDQ07,OUT017,4186.31737
FDS45,OUT049,1779.0176
NCJ06,OUT045,1836.2431100000001
FDD36,OUT035,1631.7426400000002
FDY25,OUT045,3103.9928900000004
FDU52,OUT046,2245.14418
DRK47,OUT017,3220.1749899999995
NCL30,OUT017,2218.9116599999998
FDN22,OUT035,3031.8867499999997
NCF30,OUT027,4120.935810000001
FDK03,OUT035,2577.5781199999997
FDT45,OUT017,1362.2600899999998
NCC54,OUT027,4097.399780000001
FDP08,OUT018,2550.7463799999996
FDU44,OUT046,2635.60259
DRG39,OUT035,1747.4919699999998
FDU32,OUT049,1658.54109
FDY27,OUT049,2539.52765
NCP54,OUT013,2154.4289299999996
NCZ41,OUT049,2109.68717
DRL49,OUT013,2980.3871199999994
FDI05,OUT018,1672.4230199999997
FDY56,OUT045,3829.61502
DRC13,OUT013,2075.89782
NCV29,OUT017,2757.61044
FDR24,OUT049,2038.9459199999997
FDZ34,OUT018,2506.7702899999995
FDP37,OUT035,2512.7957799999995
FDX08,OUT027,5472.043750000001
FDS57,OUT045,2533.20255
NCG18,OUT049,2207.7595099999994
FDK25,OUT018,2163.75013
FDH53,OUT049,1918.4694100000002
DRI59,OUT018,2524.61373
FDA52,OUT046,2156.1267199999998
FDT20,OUT010,301.30778999999995
FDE36,OUT019,358.26698000000005
FDI24,OUT017,2497.44909
FDB28,OUT018,2509.6665199999998
FDV11,OUT017,2852.9197100000006
FDP01,OUT046,2551.4454699999997
FDD34,OUT027,3969.93237
FDJ50,OUT027,3250.86837
FDZ44,OUT013,2001.86086
DRO59,OUT035,1946.1999800000006
DRB48,OUT045,980.7899799999999
FDR21,OUT018,2447.4142199999997
NCE42,OUT010,485.4014899999999
FDO23,OUT046,2160.6541599999996
NCE30,OUT018,2799.95532
FDQ22,OUT035,1252.60283
FDY01,OUT045,1978.0252200000002
FDS08,OUT017,2395.84801
FDG28,OUT018,2123.93529
FDQ51,OUT018,2057.9878
FDB05,OUT017,3424.50901
FDO56,OUT049,2361.5926
FDE02,OUT018,1674.98635
FDN45,OUT017,3337.6221100000002
FDS09,OUT013,1356.70066
NCA54,OUT018,2535.5994299999998
FDP09,OUT010,493.12477000000007
FDC53,OUT045,1453.5412700000002
